id_municipio,populacao_residente,area_unidade_territorial
2304954,24325,256
4107850,4364,256
4319000,21084,256
4315156,5340,256
2501500,23134,256
4306734,4470,256
3536570,2090,256
3157906,16395,256
1718550,3960,512
2924702,9152,512
3511409,21469,512
2904803,6205,512
5003157,14289,1024
1507508,13664,1280
2313005,18179,1536
5211008,8007,2048
2923407,20078,2560
2707404,9295,257
2507309,14477,257
2708303,20813,257
2702900,36102,513
3507605,176811,513
2925006,23334,769
2807402,50905,1025
2200053,6420,1281
5211206,26113,1281
5215702,31858,1537
1501576,18005,2817
3156908,26670,3073
1300607,37648,8705
4323754,3260,258
2404507,15295,258
3521507,6867,258
2605905,18214,258
5209200,19545,514
2202075,3108,514
2408904,21499,514
3111606,26105,770
4203402,7257,1026
2205508,42559,1538
5106372,18066,3842
1500701,28011,6914
2307304,286120,259
2613206,23837,259
3145901,38724,259
4106704,4494,259
1506104,10851,259
2607901,644037,259
3138658,8790,259
2806008,17033,259
3157401,4673,259
2304657,13801,259
3113800,2605,259
1715002,3362,515
4301800,4831,515
3514700,6205,515
2110302,14304,771
2912806,8896,771
2204501,10270,1027
3502200,24022,1027
2930808,17054,1027
5210208,35684,1027
2919306,10774,1283
2208650,8738,1283
5107107,17849,1283
2605152,17188,1539
4315701,34654,2051
2109502,22145,6403
5107008,23283,6915
3500600,2780,4
3157336,8109,4
3508405,47011,260
2409407,30479,260
3536901,2787,260
2301950,22392,260
3150406,5019,260
2706901,35370,260
2300804,7245,260
4211256,3010,260
4313300,25692,260
4123956,3356,260
4210001,11684,260
3549102,92547,516
2109106,45155,772
1718402,3047,772
2205524,5388,1284
5000856,10729,1284
2111052,9904,2052
4311007,26603,2052
1200427,14938,3076
5103056,9593,3844
3163904,4885,261
2401909,3268,261
4214805,72587,261
4301701,7144,261
2702553,15429,261
4210050,1778,261
4207684,7730,261
3141207,3814,261
4303301,4704,261
3135076,4296,517
5221908,3716,517
3162005,23959,517
3305802,165123,773
2903508,18412,773
4322608,68763,773
2921054,10330,773
2102705,24303,773
1502400,192256,1029
1600600,107618,1541
1703057,3407,1541
1708304,4738,1797
1505650,18668,7173
5106505,31217,17157
3139706,7333,262
4217600,13714,262
2928703,103055,262
2918308,14355,262
2201804,4078,262
2506806,17692,262
2108207,37050,262
2210508,13755,518
3164506,10079,518
3102100,10891,518
2402501,9714,518
4300851,4112,518
3522604,72022,518
2613602,31004,774
5220009,14041,3334
3143302,414240,3590
5220207,21900,6150
3135209,65150,6662
2410900,7389,263
2313708,6871,263
3542404,20145,263
2515401,10291,263
3152600,6566,263
2512804,8493,263
3531506,18151,263
4202404,361261,519
2904308,12943,519
2407203,27369,775
2210656,9460,1031
2210102,3297,1287
4119905,358371,2055
1100924,9324,5127
1600105,7943,8455
3124401,6611,264
3128402,7714,264
2613701,111249,264
2701704,15032,264
3152709,9048,264
2201176,3995,264
4106605,23831,776
3171105,3411,1032
1501758,6783,1288
2924009,112870,1544
2207900,37894,1544
2205359,2970,1800
5219803,9711,3336
3533205,4609,265
3503356,2044,265
2504504,6451,265
3305554,80596,265
4300471,1969,265
4308508,32627,265
4314076,6025,265
2403400,5360,265
3514502,12328,265
2703007,13731,265
3515301,2703,265
3303500,785867,521
4210308,7425,521
2204303,10259,777
4128633,5697,777
1713304,12701,1033
3109451,6627,1033
2923357,19243,1545
1502103,134184,3081
5100805,8590,20489
4103057,7924,266
3508207,4356,266
4302451,6247,266
3161809,11770,266
3540507,10451,266
3112802,10380,522
2607208,98932,522
2933406,9503,522
3526209,27404,522
3120805,15362,522
2606309,6967,522
2926806,13146,778
5216452,2964,1034
3133402,13690,1802
2310308,31445,2314
5007695,29579,3850
2103307,114275,4362
5206206,62337,6154
3534807,7779,267
3556404,40133,267
2508505,6877,267
3140902,18552,267
2201919,5636,523
5221700,13729,523
3301157,12958,523
3541604,35131,779
3304805,38961,1035
5209903,10584,1547
5208608,73707,1547
5211909,105729,7179
2108504,31429,268
5218607,12165,268
3148301,8659,268
2612406,18624,268
4124053,24262,268
4321956,7556,268
2914505,28043,268
4206504,46711,268
4322905,4769,268
2909000,7546,524
3516002,12958,524
2100402,6447,524
3554003,123942,524
2303303,17015,1036
1716109,52360,1292
2922250,10443,3852
1505205,33844,3852
1200435,6723,6156
5108600,19888,7436
5103858,8642,16908
2403707,5944,269
4117107,12923,269
2204006,4505,269
4301404,10322,269
4321907,25436,269
2501104,22633,269
2414456,3376,269
4315313,1552,269
3529302,79033,525
2501609,12904,781
2104677,23128,1037
1718907,4653,1805
2106102,11597,3597
1301308,23549,18701
3518602,37498,270
2929206,38733,270
2201945,6545,270
2211704,4059,270
2610608,56665,270
2206902,6097,526
2933257,6003,782
2202703,28212,1294
3548807,165655,15
2915502,18781,271
2112274,5507,271
3518305,31236,271
2804409,16426,271
3149903,21384,271
2202083,7957,271
2104701,6023,271
3545803,183347,271
2504207,4491,527
4304622,1733,527
3131109,7371,527
4304663,26487,783
3166808,11801,1295
4300034,4170,1551
3114550,9422,2063
1709005,12433,6415
1505908,40597,17423
3519402,11690,272
4209607,14381,272
4302105,123151,272
3546009,13975,272
2505600,6299,272
4304903,9465,272
3145372,4571,272
2921807,11143,528
5204250,7782,528
3111200,52277,528
4314100,206215,784
4307500,15173,784
2202109,4938,784
2303659,10444,784
4318903,34752,1296
5004601,19423,2064
1200450,21454,2320
5003900,3539,4880
2100600,37085,7440
3539806,103765,17
3525003,118045,17
3204807,10878,273
2600708,35741,273
3545704,6393,273
3115201,3560,273
3524204,6221,273
3517109,4138,273
5204607,3755,273
5212006,2924,529
3110509,26097,529
4106308,17470,529
2204808,9420,529
3540002,20196,785
5221080,2701,785
2905701,300372,785
3116902,2773,1041
3133501,21046,1041
1713601,5694,3601
2112001,8862,4369
4305504,4149,274
2608909,56510,274
3523305,15528,274
1720002,2406,274
5216809,9573,530
3506508,118979,530
2925253,17938,530
3102902,11095,530
2206050,5218,530
1503200,35797,786
2311264,20213,1042
4208104,22051,1298
1507755,5847,1298
1508357,15607,3090
5100409,13052,3858
2911105,25899,15634
1505031,33638,38162
3303203,146774,19
2605459,3167,19
3141702,5040,275
4104253,30160,275
2908002,17333,275
4103453,18997,275
3111309,11377,275
2304301,18217,531
4208906,182660,531
2107704,18274,531
2805802,18313,531
3103009,9219,787
2109908,85014,787
2910602,32554,1299
3125705,13978,1555
5105234,4790,1811
2302404,50411,2835
1506161,18384,4115
3170206,713224,4115
5108956,8313,5139
1302108,8858,55827
3552809,273542,20
2802502,3037,20
4123402,11378,276
2922409,20037,276
4108205,7635,276
3158953,44800,276
4308201,30892,276
4303806,5284,276
3157658,5938,276
3533007,19419,532
2600401,26461,532
2107605,21059,532
4114005,13452,788
4106456,5649,1556
3554300,22173,1556
3141801,24405,1812
1200013,14021,1812
1500958,23774,1812
2312908,203023,2068
4306908,23819,3348
2903904,65550,4116
1717503,7128,10004
1400209,20957,47380
3517208,11239,277
3549508,7626,277
3147600,15515,277
2412104,5956,277
4305850,2211,277
2305704,12083,277
2700409,37512,533
2514909,7470,533
3528809,12673,533
2930105,74523,789
5200100,17232,1045
3306107,68088,1301
3128600,6539,2069
2605707,30137,3605
5005400,45047,5397
1506351,21087,278
3102209,3975,278
3507803,25201,278
4126603,22811,278
2408300,34269,278
2923050,10660,278
3165107,6740,278
2608057,14020,278
2915908,5914,534
3146008,32094,534
2101905,19584,790
5219605,3293,790
2310506,40187,1302
4117602,48247,1558
2916500,31679,1558
1702307,5550,1558
4214201,11022,279
3512704,4195,279
2922508,27060,279
4218004,51592,279
3112653,4585,279
2207207,6382,279
2312502,5855,279
2702355,25397,279
3165552,9917,535
3202702,13589,535
4300109,16041,535
3136405,3854,791
3303906,278881,791
2904050,15844,791
2400208,56496,1303
3545308,43748,280
3201308,353491,280
4104600,14648,280
3138351,4341,280
5003504,5578,280
3150604,6700,280
2913903,40706,280
4124509,6181,280
3520707,4035,280
5201405,527796,280
4106001,8320,536
2200251,6819,536
3306206,33976,536
4202131,5872,536
2602100,44294,792
2313104,30652,1048
2910800,616272,1304
1100940,14863,3864
1504208,266533,15128
3171907,4552,281
4315107,9938,281
3548500,418608,281
4216701,14167,281
3140605,3963,281
5214408,8189,281
3161650,3143,281
2929503,40958,537
3167202,227397,537
5220264,4464,537
1717008,4478,1561
3100203,22675,1817
1508001,67585,5145
1100106,39387,24857
2615409,41137,26
2502706,4214,26
2413201,4065,26
1712454,2717,282
4307815,3070,282
3114808,4422,282
3145208,105552,282
2701209,10482,282
5213855,2456,282
4320354,5306,282
4208401,16638,282
3555505,5132,282
4303673,3242,538
3526506,9689,538
1507003,27461,538
2106631,17432,794
4317608,42947,1050
5100300,17193,5402
2505808,3327,27
3302007,116841,283
4117008,7225,283
3551405,12746,283
3104304,13881,283
4215059,2397,283
2309201,15399,283
3115607,1081,283
2503753,2740,283
4118501,91836,539
4102505,10795,539
5107206,4535,539
2900108,7301,539
2310407,10384,539
4104006,47825,539
3509502,1139047,795
5006358,12921,1307
1303007,20136,14107
2501807,82742,28
4307708,76137,28
2927804,4681,284
3159704,3382,284
3135456,6100,284
4213807,8270,284
3133907,5642,284
