ano,id_municipio,tipo_destino_lixo,grupo_idade,cor_raca,moradores
2022,2913606,Coletado,0 a 4 anos,Preta,1562
2022,2913606,Coletado,5 a 9 anos,Preta,1983
2022,2913606,Coletado,20 a 24 anos,Branca,1940
2022,2913606,Coletado,30 a 34 anos,Indígena,258
2022,2913606,Coletado,40 a 44 anos,Branca,2347
2022,2913606,Coletado,45 a 49 anos,Branca,1822
2022,2913606,Coletado,55 a 59 anos,Amarela,20
2022,2913606,Coletado,60 a 64 anos,Branca,1688
2022,2913606,Coletado,70 a 74 anos,Parda,2506
2022,2913606,Coletado,90 a 94 anos,Parda,250
2022,2913606,Outro destino,5 a 9 anos,Parda,56
2022,2913606,Outro destino,10 a 14 anos,Parda,53
2022,2913606,Outro destino,45 a 49 anos,Amarela,
2022,2913606,Outro destino,90 a 94 anos,Branca,
2022,2913606,Queimado na propriedade,0 a 4 anos,Amarela,1
2022,2913606,Queimado na propriedade,10 a 14 anos,Preta,176
2022,2913606,Queimado na propriedade,20 a 24 anos,Indígena,254
2022,2913606,Queimado na propriedade,30 a 34 anos,Branca,51
2022,2913606,Queimado na propriedade,30 a 34 anos,Parda,403
2022,2913606,Queimado na propriedade,60 a 64 anos,Parda,449
2022,2913606,Queimado na propriedade,75 a 79 anos,Branca,26
2022,2913606,Queimado na propriedade,75 a 79 anos,Parda,146
2022,2913606,Queimado na propriedade,75 a 79 anos,Amarela,
2022,2913606,Queimado na propriedade,85 a 89 anos,Parda,26
2022,2913606,Queimado na propriedade,95 a 99 anos,Preta,3
2022,2913606,Enterrado na propriedade,10 a 14 anos,Amarela,
2022,2913606,Enterrado na propriedade,20 a 24 anos,Branca,
2022,2913606,Enterrado na propriedade,25 a 29 anos,Parda,4
2022,2913606,Enterrado na propriedade,30 a 34 anos,Parda,7
2022,2913606,Enterrado na propriedade,35 a 39 anos,Branca,
2022,2913606,Enterrado na propriedade,55 a 59 anos,Branca,5
2022,2913606,Enterrado na propriedade,60 a 64 anos,Preta,7
2022,2913606,Enterrado na propriedade,65 a 69 anos,Amarela,
2022,2913606,Enterrado na propriedade,80 a 84 anos,Amarela,
2022,2913606,Enterrado na propriedade,85 a 89 anos,Indígena,
2022,2913606,Enterrado na propriedade,90 a 94 anos,Preta,
2022,2913606,Enterrado na propriedade,100 anos ou mais,Branca,
2022,2913606,Depositado em caçamba de serviço de limpeza,10 a 14 anos,Preta,536
2022,2913606,Depositado em caçamba de serviço de limpeza,10 a 14 anos,Amarela,
2022,2913606,Depositado em caçamba de serviço de limpeza,35 a 39 anos,Parda,1541
2022,2913606,Depositado em caçamba de serviço de limpeza,35 a 39 anos,Branca,370
2022,2913606,Depositado em caçamba de serviço de limpeza,45 a 49 anos,Amarela,1
2022,2913606,Depositado em caçamba de serviço de limpeza,55 a 59 anos,Preta,476
2022,2913606,Depositado em caçamba de serviço de limpeza,65 a 69 anos,Indígena,37
2022,2913606,Depositado em caçamba de serviço de limpeza,80 a 84 anos,Branca,67
2022,2913606,Depositado em caçamba de serviço de limpeza,95 a 99 anos,Parda,12
2022,2913606,Depositado em caçamba de serviço de limpeza,95 a 99 anos,Indígena,
2022,2913606,Depositado em caçamba de serviço de limpeza,95 a 99 anos,Branca,7
2022,2913606,Depositado em caçamba de serviço de limpeza,100 anos ou mais,Preta,3
2022,2913606,Depositado em caçamba de serviço de limpeza,100 anos ou mais,Indígena,
2022,2913606,Coletado no domicílio por serviço de limpeza,0 a 4 anos,Parda,4107
2022,2913606,Coletado no domicílio por serviço de limpeza,20 a 24 anos,Indígena,223
2022,2913606,Coletado no domicílio por serviço de limpeza,45 a 49 anos,Preta,1994
2022,2913606,Coletado no domicílio por serviço de limpeza,45 a 49 anos,Parda,4896
2022,2913606,Coletado no domicílio por serviço de limpeza,70 a 74 anos,Indígena,89
2022,2913606,Coletado no domicílio por serviço de limpeza,70 a 74 anos,Branca,914
2022,2913606,Coletado no domicílio por serviço de limpeza,95 a 99 anos,Branca,33
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",0 a 4 anos,Indígena,16
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",0 a 4 anos,Parda,104
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",5 a 9 anos,Branca,23
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",30 a 34 anos,Parda,75
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",30 a 34 anos,Branca,16
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",40 a 44 anos,Indígena,15
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",45 a 49 anos,Parda,91
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",55 a 59 anos,Branca,18
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",60 a 64 anos,Indígena,13
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",80 a 84 anos,Indígena,
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",85 a 89 anos,Branca,3
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",100 anos ou mais,Indígena,
2022,2913606,Enterrado na propriedade,15 a 19 anos,Parda,10
2022,2913606,Enterrado na propriedade,50 a 54 anos,Parda,9
