ano,id_municipio,tipo_ligacao_rede_geral,grupo_idade,cor_raca,moradores
2022,2913606,Possui ligação à rede geral e a utiliza como forma principal,0 a 4 anos,Branca,1851
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,0 a 4 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma",0 a 4 anos,Branca,41
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma",0 a 4 anos,Indígena,29
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",0 a 4 anos,Preta,39
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés",0 a 4 anos,Amarela,
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,5 a 9 anos,Preta,118
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,5 a 9 anos,Amarela,3
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",5 a 9 anos,Amarela,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",5 a 9 anos,Parda,10
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",5 a 9 anos,Parda,21
2022,2913606,Não possui ligação com a rede geral - Outra,10 a 14 anos,Preta,27
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",10 a 14 anos,Parda,115
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",10 a 14 anos,Amarela,
2022,2913606,Não possui ligação com a rede geral - Outra,15 a 19 anos,Indígena,5
2022,2913606,Possui ligação à rede geral e a utiliza como forma principal,15 a 19 anos,Amarela,16
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma",15 a 19 anos,Parda,208
2022,2913606,Não possui ligação com a rede geral - Carro-pipa,20 a 24 anos,Amarela,
2022,2913606,Possui ligação à rede geral e a utiliza como forma principal,20 a 24 anos,Preta,2881
2022,2913606,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés",20 a 24 anos,Indígena,51
2022,2913606,Não possui ligação com a rede geral,25 a 29 anos,Amarela,4
2022,2913606,Possui ligação à rede geral e a utiliza como forma principal,25 a 29 anos,Branca,1708
2022,2913606,Não possui ligação com a rede geral - Poço profundo ou artesiano,25 a 29 anos,Branca,97
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",25 a 29 anos,Parda,111
2022,2913606,Não possui ligação com a rede geral - Outra,30 a 34 anos,Preta,18
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma",30 a 34 anos,Amarela,
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",30 a 34 anos,Indígena,44
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina",30 a 34 anos,Branca,
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano",30 a 34 anos,Indígena,19
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba",30 a 34 anos,Indígena,3
2022,2913606,Não possui ligação com a rede geral - Água da chuva armazenada,35 a 39 anos,Parda,22
2022,2913606,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba",35 a 39 anos,Preta,67
2022,2913606,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra",35 a 39 anos,Branca,1
