ano,id_municipio,grupo_idade,sexo,cor_raca,populacao_residente
2022,2913606,0 a 4 anos,Homens,Parda,3080
2022,2913606,0 a 4 anos,Mulheres,Branca,1062
2010,2913606,0 a 4 anos,Mulheres,Amarela,63
2022,2913606,0 a 4 anos,Mulheres,Indígena,331
2010,2913606,0 a 4 anos,Homens,Indígena,149
2022,2913606,5 a 9 anos,Mulheres,Amarela,10
2010,2913606,5 a 9 anos,Homens,Amarela,70
2022,2913606,5 a 9 anos,Homens,Branca,984
2010,2913606,5 a 9 anos,Homens,Parda,4846
2010,2913606,10 a 14 anos,Mulheres,Branca,1540
2010,2913606,10 a 14 anos,Homens,Parda,5248
2010,2913606,10 a 14 anos,Homens,Indígena,200
2010,2913606,10 a 14 anos,Mulheres,Indígena,204
2010,2913606,10 a 14 anos,Homens,Branca,1486
2022,2913606,15 a 19 anos,Homens,Branca,1031
2022,2913606,15 a 19 anos,Homens,Indígena,296
2022,2913606,15 a 19 anos,Mulheres,Branca,1079
2010,2913606,15 a 19 anos,Homens,Amarela,85
2010,2913606,15 a 19 anos,Mulheres,Indígena,178
2022,2913606,20 a 24 anos,Mulheres,Amarela,11
2010,2913606,20 a 24 anos,Homens,Branca,1378
2010,2913606,20 a 24 anos,Homens,Parda,4715
2010,2913606,20 a 24 anos,Mulheres,Indígena,166
2010,2913606,20 a 24 anos,Homens,Indígena,181
2010,2913606,20 a 24 anos,Mulheres,Preta,1739
2010,2913606,25 a 29 anos,Homens,Amarela,87
2022,2913606,25 a 29 anos,Homens,Branca,933
2010,2913606,25 a 29 anos,Homens,Branca,1448
2010,2913606,30 a 34 anos,Homens,Branca,1287
2022,2913606,30 a 34 anos,Homens,Preta,1546
2010,2913606,30 a 34 anos,Homens,Preta,1667
2022,2913606,30 a 34 anos,Homens,Indígena,226
2010,2913606,30 a 34 anos,Mulheres,Branca,1525
2010,2913606,35 a 39 anos,Mulheres,Parda,3963
2010,2913606,35 a 39 anos,Homens,Indígena,140
2022,2913606,35 a 39 anos,Homens,Preta,1734
2010,2913606,35 a 39 anos,Homens,Parda,3530
2022,2913606,40 a 44 anos,Mulheres,Amarela,14
2022,2913606,40 a 44 anos,Mulheres,Indígena,299
2022,2913606,40 a 44 anos,Mulheres,Parda,4409
2010,2913606,40 a 44 anos,Mulheres,Amarela,75
2010,2913606,40 a 44 anos,Homens,Branca,1146
2010,2913606,40 a 44 anos,Mulheres,Preta,1188
2022,2913606,45 a 49 anos,Mulheres,Parda,3668
2022,2913606,45 a 49 anos,Mulheres,Preta,1502
2022,2913606,50 a 54 anos,Mulheres,Amarela,12
2022,2913606,50 a 54 anos,Mulheres,Parda,3435
2010,2913606,50 a 54 anos,Mulheres,Indígena,110
2010,2913606,55 a 59 anos,Homens,Branca,790
2022,2913606,55 a 59 anos,Homens,Preta,1173
2022,2913606,55 a 59 anos,Homens,Indígena,201
2010,2913606,55 a 59 anos,Mulheres,Preta,729
2022,2913606,55 a 59 anos,Mulheres,Branca,988
2010,2913606,60 a 64 anos,Homens,Amarela,9
2010,2913606,60 a 64 anos,Homens,Parda,1590
2022,2913606,60 a 64 anos,Homens,Indígena,189
2022,2913606,60 a 64 anos,Mulheres,Indígena,203
2022,2913606,60 a 64 anos,Mulheres,Preta,1015
2010,2913606,60 a 64 anos,Homens,Preta,510
2022,2913606,65 a 69 anos,Mulheres,Amarela,4
2010,2913606,65 a 69 anos,Homens,Amarela,15
2010,2913606,65 a 69 anos,Mulheres,Indígena,44
2022,2913606,65 a 69 anos,Mulheres,Parda,2118
2010,2913606,65 a 69 anos,Homens,Preta,395
2022,2913606,70 a 74 anos,Mulheres,Amarela,5
2010,2913606,70 a 74 anos,Homens,Indígena,30
2010,2913606,70 a 74 anos,Mulheres,Parda,1061
2022,2913606,70 a 74 anos,Homens,Indígena,96
2010,2913606,70 a 74 anos,Mulheres,Preta,353
2010,2913606,75 a 79 anos,Homens,Indígena,20
2010,2913606,75 a 79 anos,Homens,Parda,598
2010,2913606,75 a 79 anos,Mulheres,Preta,223
2010,2913606,80 a 84 anos,Mulheres,Amarela,8
2022,2913606,80 a 84 anos,Mulheres,Indígena,46
2022,2913606,80 a 84 anos,Mulheres,Parda,650
2010,2913606,85 a 89 anos,Homens,Indígena,4
2022,2913606,85 a 89 anos,Mulheres,Indígena,27
2010,2913606,85 a 89 anos,Homens,Branca,83
2022,2913606,85 a 89 anos,Homens,Parda,219
2022,2913606,85 a 89 anos,Mulheres,Branca,222
2010,2913606,90 a 94 anos,Homens,Indígena,2
2010,2913606,90 a 94 anos,Mulheres,Indígena,8
2010,2913606,90 a 94 anos,Mulheres,Branca,80
2022,2913606,90 a 94 anos,Homens,Parda,95
2010,2913606,95 a 99 anos,Homens,Indígena,
2010,2913606,95 a 99 anos,Mulheres,Indígena,2
2022,2913606,95 a 99 anos,Homens,Branca,16
2010,2913606,100 anos ou mais,Homens,Indígena,
2022,2913606,100 anos ou mais,Homens,Amarela,
2010,2913606,100 anos ou mais,Homens,Preta,2
2022,2913606,100 anos ou mais,Homens,Parda,8
2010,2913606,0 a 4 anos,Homens,Parda,4394
2010,2913606,0 a 4 anos,Mulheres,Preta,813
2010,2913606,0 a 4 anos,Homens,Branca,1473
2010,2913606,5 a 9 anos,Mulheres,Amarela,65
2010,2913606,5 a 9 anos,Mulheres,Preta,1114
2022,2913606,5 a 9 anos,Homens,Parda,3692
2022,2913606,5 a 9 anos,Mulheres,Parda,3325
2022,2913606,10 a 14 anos,Homens,Amarela,6
2022,2913606,10 a 14 anos,Mulheres,Indígena,342
2022,2913606,10 a 14 anos,Mulheres,Preta,1211
2022,2913606,15 a 19 anos,Mulheres,Amarela,14
2010,2913606,15 a 19 anos,Mulheres,Preta,1556
2022,2913606,15 a 19 anos,Homens,Parda,3610
2010,2913606,15 a 19 anos,Homens,Preta,1588
2010,2913606,15 a 19 anos,Mulheres,Parda,4974
2022,2913606,15 a 19 anos,Mulheres,Preta,1488
2022,2913606,20 a 24 anos,Homens,Amarela,7
2022,2913606,20 a 24 anos,Homens,Indígena,289
2022,2913606,20 a 24 anos,Mulheres,Indígena,307
2010,2913606,20 a 24 anos,Homens,Preta,1646
2010,2913606,20 a 24 anos,Mulheres,Parda,4975
2010,2913606,20 a 24 anos,Mulheres,Amarela,117
2022,2913606,20 a 24 anos,Homens,Preta,1665
2022,2913606,20 a 24 anos,Homens,Branca,955
2022,2913606,25 a 29 anos,Homens,Amarela,4
2010,2913606,25 a 29 anos,Mulheres,Preta,1807
2022,2913606,25 a 29 anos,Mulheres,Indígena,276
2010,2913606,25 a 29 anos,Mulheres,Branca,1601
2022,2913606,25 a 29 anos,Homens,Preta,1653
2010,2913606,25 a 29 anos,Mulheres,Parda,5022
2010,2913606,25 a 29 anos,Homens,Preta,1747
2022,2913606,25 a 29 anos,Mulheres,Branca,994
2022,2913606,30 a 34 anos,Mulheres,Parda,3667
2010,2913606,30 a 34 anos,Mulheres,Amarela,92
2010,2913606,30 a 34 anos,Mulheres,Indígena,173
2022,2913606,30 a 34 anos,Homens,Parda,2989
2010,2913606,30 a 34 anos,Mulheres,Parda,4557
2022,2913606,35 a 39 anos,Homens,Amarela,8
2022,2913606,35 a 39 anos,Mulheres,Indígena,315
2010,2913606,35 a 39 anos,Mulheres,Amarela,74
2010,2913606,35 a 39 anos,Mulheres,Branca,1355
2010,2913606,35 a 39 anos,Mulheres,Indígena,138
2022,2913606,35 a 39 anos,Homens,Branca,929
2022,2913606,35 a 39 anos,Mulheres,Branca,1260
2010,2913606,40 a 44 anos,Homens,Amarela,41
2010,2913606,40 a 44 anos,Homens,Parda,3302
2010,2913606,40 a 44 anos,Homens,Preta,1258
2022,2913606,40 a 44 anos,Homens,Parda,3823
2022,2913606,45 a 49 anos,Homens,Amarela,7
2010,2913606,45 a 49 anos,Homens,Branca,1074
