id_municipio,forma_declaracao_idade,sexo,idade,idade_anos,grupo_idade,populacao_residente
2913606,Data de nascimento,Homens,1 mês,,100 anos ou mais,68
2913606,Idade presumida,Homens,2 anos,2.0,0 a 4 anos,131
2913606,Idade presumida,Mulheres,2 anos,2.0,0 a 4 anos,117
2913606,Data de nascimento,Mulheres,3 anos,3.0,0 a 4 anos,952
2913606,Data de nascimento,Mulheres,5 anos,5.0,5 a 9 anos,892
2913606,Data de nascimento,Homens,7 anos,7.0,5 a 9 anos,1023
2913606,Idade presumida,Homens,10 anos,10.0,10 a 14 anos,219
2913606,Data de nascimento,Mulheres,12 anos,12.0,10 a 14 anos,1044
2913606,Idade presumida,Homens,13 anos,13.0,10 a 14 anos,275
2913606,Data de nascimento,Homens,14 anos,14.0,10 a 14 anos,1049
2913606,Data de nascimento,Mulheres,17 anos,17.0,15 a 19 anos,1090
2913606,Idade presumida,Mulheres,20 anos,20.0,20 a 24 anos,283
2913606,Idade presumida,Mulheres,23 anos,23.0,20 a 24 anos,261
2913606,Idade presumida,Homens,26 anos,26.0,25 a 29 anos,208
2913606,Idade presumida,Homens,29 anos,29.0,25 a 29 anos,209
2913606,Data de nascimento,Homens,30 anos,30.0,30 a 34 anos,853
2913606,Data de nascimento,Mulheres,32 anos,32.0,30 a 34 anos,1041
2913606,Data de nascimento,Homens,34 anos,34.0,30 a 34 anos,899
2913606,Data de nascimento,Homens,39 anos,39.0,35 a 39 anos,1085
2913606,Idade presumida,Mulheres,39 anos,39.0,35 a 39 anos,221
2913606,Data de nascimento,Mulheres,40 anos,40.0,40 a 44 anos,1412
2913606,Idade presumida,Mulheres,41 anos,41.0,40 a 44 anos,191
2913606,Data de nascimento,Mulheres,43 anos,43.0,40 a 44 anos,1217
2913606,Idade presumida,Mulheres,46 anos,46.0,45 a 49 anos,211
2913606,Idade presumida,Homens,47 anos,47.0,45 a 49 anos,175
2913606,Idade presumida,Homens,55 anos,55.0,55 a 59 anos,223
2913606,Data de nascimento,Mulheres,55 anos,55.0,55 a 59 anos,971
